date,name,location,photos,videos,href_url,paginated_url,year,month,season,level,page
8/31,Lodi Flame Invitational,"Lodi, CA",,,https://ca.milesplit.com/meets/99515-lodi-flame-invitational-2011/results,https://ca.milesplit.com/results/?year=2011&month=8&season=outdoor&level=hs&page=1,2011,8,outdoor,hs,1
8/27,Oakmont Invitational,"Riverside, CA",,,https://ca.milesplit.com/meets/99512-oakmont-invitational-2011/results,https://ca.milesplit.com/results/?year=2011&month=8&season=outdoor&level=hs&page=1,2011,8,outdoor,hs,1
9/30,Del Rio Cluster Meet #1,"Riverside, CA",,,https://ca.milesplit.com/meets/101584-del-rio-cluster-meet-1-2011/results,https://ca.milesplit.com/results/?year=2011&month=9&season=outdoor&level=hs&page=1,2011,9,outdoor,hs,1
9/30,Desert Twilight XC Festival,"Gilbert, AZ",,,https://az.milesplit.com/meets/95908-desert-twilight-xc-festival-2011/results,https://ca.milesplit.com/results/?year=2011&month=9&season=outdoor&level=hs&page=1,2011,9,outdoor,hs,1
"9/30
10/1",Great American  Festival,"Cary, NC",,,https://nc.milesplit.com/meets/95611-great-american-cross-country-festival-2011/results,https://ca.milesplit.com/results/?year=2011&month=9&season=outdoor&level=hs&page=1,2011,9,outdoor,hs,1
9/30,Ramona High vs Westview High,"Ramona, CA",,,https://ca.milesplit.com/meets/101850-ramona-high-vs-westview-high-2011/results,https://ca.milesplit.com/results/?year=2011&month=9&season=outdoor&level=hs&page=1,2011,9,outdoor,hs,1
9/30,Saints Small School Invitational,"San Diego, CA",,,https://ca.milesplit.com/meets/101458-saints-small-school-invitational-2011/results,https://ca.milesplit.com/results/?year=2011&month=9&season=outdoor&level=hs&page=1,2011,9,outdoor,hs,1
9/29,North County San Diego Middle School Meet - Moonlight Be,"Riverside, CA",,,https://ca.milesplit.com/meets/101498-2011-xc-north-county-san-diego-middle-school-meet-moonlight-be-2011/results,https://ca.milesplit.com/results/?year=2011&month=9&season=outdoor&level=hs&page=1,2011,9,outdoor,hs,1
9/29,Orange Coast League,"Santa Ana, CA",,,https://ca.milesplit.com/meets/101586-orange-coast-league-2011/results,https://ca.milesplit.com/results/?year=2011&month=9&season=outdoor&level=hs&page=1,2011,9,outdoor,hs,1
9/29,Pioneer Valley League Meet,"Riverside, CA",,,https://ca.milesplit.com/meets/101588-pioneer-valley-league-meet-2011/results,https://ca.milesplit.com/results/?year=2011&month=9&season=outdoor&level=hs&page=1,2011,9,outdoor,hs,1
9/29,Suburban League Meet #1,"Riverside, CA",,,https://ca.milesplit.com/meets/101587-suburban-league-meet-1-2011/results,https://ca.milesplit.com/results/?year=2011&month=9&season=outdoor&level=hs&page=1,2011,9,outdoor,hs,1
9/29,Tri Valley League Meet #1,"Ventura, CA",,,https://ca.milesplit.com/meets/103929-tri-valley-league-meet-1-2011/results,https://ca.milesplit.com/results/?year=2011&month=9&season=outdoor&level=hs&page=1,2011,9,outdoor,hs,1
9/29,Trinity League Preview Meet,"Riverside, CA",,,https://ca.milesplit.com/meets/101456-trinity-league-preview-meet-2011/results,https://ca.milesplit.com/results/?year=2011&month=9&season=outdoor&level=hs&page=1,2011,9,outdoor,hs,1
9/28,Metro League Cluster,"Sacramento, CA",,,https://ca.milesplit.com/meets/101452-metro-league-cluster-2011/results,https://ca.milesplit.com/results/?year=2011&month=9&season=outdoor&level=hs&page=1,2011,9,outdoor,hs,1
,https://ca.milesplit.com/results/?year=2011&month=9&season=outdoor&level=hs&page=1,,,,,,,,,,
,https://ca.milesplit.com/results/?year=2011&month=9&season=outdoor&level=hs&page=1,,,,,,,,,,
9/28,Moore League Cluster,"Long Beach-Lakewood, CA",,,https://ca.milesplit.com/meets/101589-moore-league-cluster-2011/results,https://ca.milesplit.com/results/?year=2011&month=9&season=outdoor&level=hs&page=1,2011,9,outdoor,hs,1
9/28,South Bay Cup,"Torrance, CA",,,https://ca.milesplit.com/meets/101442-south-bay-cup-2011/results,https://ca.milesplit.com/results/?year=2011&month=9&season=outdoor&level=hs&page=1,2011,9,outdoor,hs,1
9/28,Southwestern League,"Riverside, CA",,,https://ca.milesplit.com/meets/101454-southwestern-league-cross-country-2011/results,https://ca.milesplit.com/results/?year=2011&month=9&season=outdoor&level=hs&page=1,2011,9,outdoor,hs,1
9/28,Sunset League Preview,"Riverside, CA",,,https://ca.milesplit.com/meets/101453-sunset-league-preview-2011/results,https://ca.milesplit.com/results/?year=2011&month=9&season=outdoor&level=hs&page=1,2011,9,outdoor,hs,1
9/27,Sierra League Cluster,"San Dimas, CA",,,https://ca.milesplit.com/meets/101455-sierra-league-cluster-2011/results,https://ca.milesplit.com/results/?year=2011&month=9&season=outdoor&level=hs&page=1,2011,9,outdoor,hs,1
9/24,Bell-Jeff/Loyola Invitational,"Los Angeles, CA",,,https://ca.milesplit.com/meets/101299-38th-annual-bell-jeffloyola-invitational-2011/results,https://ca.milesplit.com/results/?year=2011&month=9&season=outdoor&level=hs&page=1,2011,9,outdoor,hs,1
9/24,Brentwood Invitational,"Los Angeles, CA",,,https://ca.milesplit.com/meets/101370-brentwood-invitational-2011/results,https://ca.milesplit.com/results/?year=2011&month=9&season=outdoor&level=hs&page=1,2011,9,outdoor,hs,1
9/24,Dana Hills Invitational,"Dana Point, CA",,,https://ca.milesplit.com/meets/97979-dana-hills-invitational-2011/results,https://ca.milesplit.com/results/?year=2011&month=9&season=outdoor&level=hs&page=1,2011,9,outdoor,hs,1
9/24,Hemet Bulldog Invitational,"Hemet, CA",,,https://ca.milesplit.com/meets/101363-hemet-bulldog-invitational-2011/results,https://ca.milesplit.com/results/?year=2011&month=9&season=outdoor&level=hs&page=1,2011,9,outdoor,hs,1
9/24,Lancer Classic,"Riverside, CA",,,https://ca.milesplit.com/meets/101594-lancer-classic-2011/results,https://ca.milesplit.com/results/?year=2011&month=9&season=outdoor&level=hs&page=1,2011,9,outdoor,hs,1
9/24,Nike Pre-Nationals,"Portland, OR",,,https://or.milesplit.com/meets/96153-nike-pre-nationals-2011/results,https://ca.milesplit.com/results/?year=2011&month=9&season=outdoor&level=hs&page=1,2011,9,outdoor,hs,1
9/24,Northwest Classic,"Eugene, OR",,,https://or.milesplit.com/meets/96202-northwest-classic-2011/results,https://ca.milesplit.com/results/?year=2011&month=9&season=outdoor&level=hs&page=1,2011,9,outdoor,hs,1
9/24,Seaside 3 Course Challenge,"Seaside, OR",,,https://or.milesplit.com/meets/96191-seaside-3-course-challenge-2011/results,https://ca.milesplit.com/results/?year=2011&month=9&season=outdoor&level=hs&page=1,2011,9,outdoor,hs,1
9/24,Stanford Invitational,"Palo Alto, CA",,,https://ca.milesplit.com/meets/96249-stanford-invitational-2011/results,https://ca.milesplit.com/results/?year=2011&month=9&season=outdoor&level=hs&page=1,2011,9,outdoor,hs,1
9/24,Sunny Hills Wayne Walker Invitational,"Fullerton, CA",,,https://ca.milesplit.com/meets/101374-sunny-hills-wayne-walker-invitational-2011/results,https://ca.milesplit.com/results/?year=2011&month=9&season=outdoor&level=hs&page=1,2011,9,outdoor,hs,1
9/24,Tri County Invitational,"Riverside, CA",,,https://ca.milesplit.com/meets/101375-tri-county-invitational-2011/results,https://ca.milesplit.com/results/?year=2011&month=9&season=outdoor&level=hs&page=1,2011,9,outdoor,hs,1
9/24,Wolfpack Invitational,"Bakersfield, CA",,,https://ca.milesplit.com/meets/101373-wolfpack-invitational-2011/results,https://ca.milesplit.com/results/?year=2011&month=9&season=outdoor&level=hs&page=1,2011,9,outdoor,hs,1
9/23,Golden Eagle/Clovis West Invitational,"Fresno, CA",,,https://ca.milesplit.com/meets/101369-golden-eagleclovis-west-invitational-2011/results,https://ca.milesplit.com/results/?year=2011&month=9&season=outdoor&level=hs&page=1,2011,9,outdoor,hs,1
9/23,Mt. Whitney Invitational,"Visalia, CA",,,https://ca.milesplit.com/meets/101595-mt-whitney-invitational-2011/results,https://ca.milesplit.com/results/?year=2011&month=9&season=outdoor&level=hs&page=1,2011,9,outdoor,hs,1
"9/23
9/24",New Balance Ocean State Invitational,"Warwick, RI",,,https://ri.milesplit.com/meets/97813-new-balance-ocean-state-invitational-2011/results,https://ca.milesplit.com/results/?year=2011&month=9&season=outdoor&level=hs&page=1,2011,9,outdoor,hs,1
