race_url,race
https://ca.milesplit.com/meets/577460-valley-mission-league-finals-2023/results/987461/formatted/,Complete
https://ca.milesplit.com/meets/577460-valley-mission-league-finals-2023/results/987494/formatted/,Results
https://ca.milesplit.com/meets/580148-ncl-23-league-meet-6-hosted-by-calistoga-2023/results/987858/formatted/,3 Mile Varsity Girls Results
https://ca.milesplit.com/meets/580148-ncl-23-league-meet-6-hosted-by-calistoga-2023/results/987857/formatted/,3 Mile Varsity/JV Boys Results
https://ca.milesplit.com/meets/572075-grossmont-santana-2023/results/968016/formatted/,JV Boys Results
https://ca.milesplit.com/meets/572075-grossmont-santana-2023/results/968017/formatted/,JV Girls Results
https://ca.milesplit.com/meets/572075-grossmont-santana-2023/results/968014/formatted/,Varsity Boys Results
https://ca.milesplit.com/meets/572075-grossmont-santana-2023/results/968015/formatted/,Women Results
https://ca.milesplit.com/meets/572086-hilltop-san-ysidro-2023/results/985655/formatted/,2.25 Mile JV Girls Results
https://ca.milesplit.com/meets/572086-hilltop-san-ysidro-2023/results/985654/formatted/,2.25 Mile Varsity Girls Results
https://ca.milesplit.com/meets/572086-hilltop-san-ysidro-2023/results/985652/formatted/,5K JV Boys Results
https://ca.milesplit.com/meets/572086-hilltop-san-ysidro-2023/results/985651/formatted/,5K Varsity Boys Results
https://ca.milesplit.com/meets/568010-tahquitz-hamilton-2023/results/952195/formatted/,Complete
https://ca.milesplit.com/meets/568010-tahquitz-hamilton-2023/results/952196/formatted/,Complete
https://ca.milesplit.com/meets/577983-coastal-and-pacific-basin-league-finals-2023/results/987966/formatted/,2 Mile Pacific Basin Boys Result
https://ca.milesplit.com/meets/577983-coastal-and-pacific-basin-league-finals-2023/results/987967/formatted/,2 Mile Pacific Basin Girls Resul
https://ca.milesplit.com/meets/577983-coastal-and-pacific-basin-league-finals-2023/results/987968/formatted/,3 Mile Coastal JV Boys Results
https://ca.milesplit.com/meets/577983-coastal-and-pacific-basin-league-finals-2023/results/987970/formatted/,3 Mile Coastal Varsity Boys Resu
https://ca.milesplit.com/meets/577983-coastal-and-pacific-basin-league-finals-2023/results/987969/formatted/,3 Mile Coastal Varsity Girls Res
https://ca.milesplit.com/meets/575181-nal-championships-2023/results/987943/formatted/,2 Mile Open Boys Results
https://ca.milesplit.com/meets/575181-nal-championships-2023/results/987944/formatted/,2 Mile Open Girls Results
https://ca.milesplit.com/meets/575181-nal-championships-2023/results/987941/formatted/,3 Mile Varsity Boys Results
https://ca.milesplit.com/meets/575181-nal-championships-2023/results/987942/formatted/,3 Mile Varsity Girls Results
https://ca.milesplit.com/meets/580749-nbl-redwood-championship-2023/results/987919/formatted/,"4,780m JV Boys Results"
https://ca.milesplit.com/meets/580749-nbl-redwood-championship-2023/results/987920/formatted/,"4,780m JV Girls Results"
